Date,Country,Event
2020-03-04,China,"The Malaysian state of Sarawak bans entry by travelers who had visited Italy, Iran, South Korea, and China in the last 14 days."
2020-03-04,Portugal,"The Assembly of the Republic (Portugal)|Portuguese Parliament is due to discuss the outbreak on 4 March, as the Portuguese prime minister António Costa will open the biweekly debate on the theme of \""the prevention and containment of the COVID-19 epidemic\""."
2020-03-04,China,"Thailand has advised travelers arriving from nine countries to self-quarantine and register their addresses. They are Singapore, China (including Hong Kong and Macau), Japan, South Korea, Taiwan, Germany, France, Italy, and Iran. The authorities later clarified that quarantine is not compulsory until a high-risk list of countries is finalized."
2020-03-04,Iraq,"Iraq has since shut schools, universities, cinemas, cafes and other public places, which will reopen on 7 March. In addition, authorities have banned mass prayers including on Fridays until further notice."
2020-03-04,France,"French cycling team Cofidis are placed under quarantine in the UAE, lasting until 14 March. This comes after several staff members tested positive for the coronavirus, leading to the cancellation of the UAE Tour."
2020-03-04,Other,The Tokyo government urged residents to refrain from joining in cherry blossom parties in parks in view of the coronavirus.
2020-03-04,Russia,"Russia banned exports of dangerous goods|hazmat suits, masks, and respirators among a list of 17 items to ensure that medics can access these items to treat people. The decree, which was published today, started two days ago and will expire on 1 June. The ban does not cover exports for humanitarian and personal purposes."
2020-03-04,Australia,"The Australian Football League has moved a game between St Kilda Saints and Port Adelaide Power, originally scheduled on 31 May in Jiangwan Stadium in Shanghai, China to Docklands Stadium in Melbourne, Australia, to be played on 7 June instead."
2020-03-04,France,"The Louvre, a museum in France, reopened after a three-day strike by staff concerned over the coronavirus."
2020-03-04,Italy,"Italy will close schools and universities until 15 March to contain the virus, with crowd control measures instituted."
2020-03-04,United Kingdom,Workers in the UK who self-isolate will get statutory sick pay from the first day since being off work.
2020-03-04,Saudi Arabia,"UK-based regional airline Flybe collapsed at 10pm GMT and was sent into administration, risking the possible closure of several local airports throughout the UK.Saudi Arabia suspended the umrah pilgrimage temporarily for citizens and residents there owing to the coronavirus. It also disallowed visits to the mosque in Medina."
2020-03-04,Japan,Japan said that the torch relay for the 2020 Olympics could be adjusted to prevent the spread of the virus.
2020-03-04,Malaysia,Malaysia suspended all autogate and e-gates systems at all checkpoints to deal with the virus.
2020-03-04,Hong Kong,"In Hong Kong, small business owners started a petition for the government to provide them with HK$6 billion in aid, as they had trouble staying open. The government began to use female prison inmates to produce 180,000 surgical masks per month."
2020-03-04,Other,Emirates removed its charges for changing flight bookings.
2020-03-05,Korea,South Korea extends a daycare closure across the whole country for two more weeks.
2020-03-05,Australia,"Australia banned travelers arriving from South Korea, as well as from mainland China and Iran. Enhanced screening will be conducted on travelers arriving from Italy."
2020-03-05,Other,"The Rome Marathon, scheduled for 29 March, was cancelled."
2020-03-05,Other,"The Paris Marathon, scheduled for 5 April, was postponed until October 2020."
2020-03-05,Indonesia,"Indonesia will ban travelers arriving from the worst-affected regions of Iran, Italy and South Korea from 8 March. Indonesians who arrive from these places will undergo a health examination."
2020-03-05,Singapore,The Catholic Church of Singapore will resume services on 14 March with precautions in place.
2020-03-06,Russia,"Russia isolated 700 people in St. Petersburg, including many students, due to contact with an Italian student who had been diagnosed the day before."
2020-03-06,Bhutan,"Bhutan banned all tourists from arriving in the country for two weeks with immediate effect. This comes after its first confirmed case. Schools will also be closed for two weeks in the Dzongkhags of Thimphu District|Thimphu, Paro District|Paro and Punakha District|Punakha, and international conferences and seminars are postponed."
2020-03-06,India,"After India confirmed its 31st case, India ordered all international passengers to be screened upon entry to the country."
2020-03-06,Korea,"Samsung Electronics moved all of its phone production from Gumi, South Korea to a factory in Vietnam, as production was constantly being stopped and six workers at the Gumi factory had already contracted the virus."
2020-03-06,Panama,"In Panama, the Health Ministry (Minsa) enabled a hotline (169) to allow people who  potentially has coronavirus  to consult a doctor. On the same day, it was announced that over 800 people are under medical surveillance, and 30 people had tested negative for the virus. The Minsa also advised against using a surgical mask, as it could cause paranoia within society. Panama has also further enhanced its screening measures at all points of entry."
2020-03-06,United States,"In the US, several states introduced measures that order health insurance to not charge people usual fees (co-payment, co-insurance) associated with COVID-19 related healthcare visit or COVID-19 laboratory tests."
2020-03-06,Other,"TwitchCon Europe 2020, scheduled to take place in Amsterdam from 2–3 May 2020 was announced to be cancelled as a precautionary measure."
2020-03-06,Other,"Vis Moot competition, scheduled for April 2020 in Vienna, was cancelled and moved to an online platform."
2020-03-06,India,"The three-day International Indian Film Academy Awards (IIFA) (dubbed Bollywood's Oscars), supposed to be held from 27 to 29 March, has been delayed due to fears of the coronavirus."
2020-03-07,Canada,"The International Ice Hockey Federation cancelled the 2020 IIHF Women's World Championship|Women's World Championship, scheduled from 31 March to 10 April in Canada, due to concerns about the coronavirus."
2020-03-07,Singapore,"In Singapore, the People's Association suspends activities and classes and activities attended by confirmed cases for 14 days, as well as all singing classes."
2020-03-08,Bahrain,"Organizers of the Bahrain Grand Prix, which is the second round of the 2020 Formula One World Championship, decided to hold the 2020 Bahrain Grand Prix|2020 event without any spectators permitted."
2020-03-08,Italy,"Italy placed more than 16 million people under quarantine in Lombardy and 14 other central and northern provinces, together with closure of schools, gyms, museums, nightclubs and other venues across the country."
2020-03-08,Portugal,The President of Portugal canceled all his public activities and will stay at home in a self-imposed quarantine after receiving a group of students from a school which has since been closed following the detection of a student with COVID-19.
2020-03-08,France,France banned gatherings of over 1000 people in a bid to curb the spread of the virus.
2020-03-08,Saudi Arabia,All schools and universities in Saudi Arabia have been closed until further notice to control the spread of the virus.
2020-03-08,Bangladesh,"Qatar bans passagers from Pakistan, Bangladesh, Sri Lanka, Philippines, Iran, Iraq, Lebanon, South Korea, Thailand, Nepal, Egypt, China, Syria and India amid fears of spread of the virus."
2020-03-09,Italy,"Italy imposes a 2020 Italy coronavirus lockdown|country-wide quarantine, restricting travel except for necessity, work, and health circumstances. As a result, people flocked to the supermarkets and prison riots erupted."
2020-03-09,Italy,Romania bans the flights to and from Italy until 23 March.
2020-03-09,Seychelles,Seychelles announced a temporary closing for cruise ships.
2020-03-09,Other,Black Monday (2020)|Stock markets crash worldwide in reaction to the coronavirus outbreak and falling oil prices.
2020-03-09,India,"The 2020 BNP Paribas Open|BNP Paribas Open tennis tournament, originally scheduled to take place in March in Indian Wells, California, United States, was cancelled after a confirmed case is reported in the local area."
2020-03-09,Panama,"In Panama, the Panama Metro began to clean its trains more frequently, using different disinfectants. The Minsa also announced that 1,073 people are under medical surveillance."
2020-03-10,Mongolia,"Mongolia put multiple cities, including its capital Ulaanbaatar, under quarantine until 16 March after the country's first case was confirmed."
2020-03-10,Iran,The Malaysian state of Sabah bans travellers from Iran and Italy from entering. The ban applies to all foreign travellers who have travelled to Iran and Italy within the last 14 days including Malaysians who are non-residents of Sabah.
2020-03-10,Czech,All primary and secondary schools in the Czech Republic were closed.
2020-03-10,Greece,"In Greece, all primary and secondary schools, universities and cram schools (known in Greece as frontistirio) were closed for two weeks, starting from 11 March until 24 March. Because 25 March is the national holiday for the Greek War of Independence, schools will reopen on 26 March. These preventive measures were taken in order to limit the spread of coronavirus in Greece. However, according to the Greek minister of education, Niki Kerameus, the school year may be extended if the measures for the closure of all schools get extended."
2020-03-10,Panama,"Panama suspended the school year in Panama City, and activities involving large amounts of people until 7 April. The school year suspension in other parts of the country was set to last until 20 March, but it was later extended to 7 April. The Minsa also announced that 66 people were under medical surveillance."
2020-03-10,Other,"RuPaul's DragCon LA 2020, which supposed to take place on 1 to 3 May in Los Angeles has been cancelled."
2020-03-10,Poland,"Polish archbishop, the President of the Polish Episcopal Conference said that Polish churches should increase the number of masses, so that fewer people will attend at once."
2020-03-10,Iraq,"The Autonomous Administration of North and East Syria (Also known as Rojava), closed a border crossing underneath its control with neighboring Iraq. The Administration also released a statement asking European journalists following the Syrian Civil War not to visit parts of Syria underneath its control, and that medical checks would be done at all crossings into their territory in response to the Coronavirus."
2020-03-10,Singapore,"Singapore's Ministry of Health (Singapore)|Ministry of Health announced a suspension of activities for seniors from 11 March for 14 days. This comes after many people went out while unwell. In addition, social distancing will be implemented for other activities. Senior care services will continue running with additional precautions."
2020-03-11,Canada,Canadian Prime Minister of Canada|Prime Minister Justin Trudeau announced a {{CAD|1000000000}} COVID-19 Response Fund that includes a $50 million contribution to the World Health Organization and an additional $275 million to fund coronavirus research in Canada.
2020-03-11,Poland,All schools and universities in Poland were closed for two weeks.
2020-03-11,China,The World Health Organization declared the COVID-19 outbreak a pandemic after cases outside China increased 13-fold over the past two weeks.
2020-03-11,Denmark,"|website=The Guardian|language=en|date=11 March 2020|access-date=11 March 2020}}</ref>The Prime Minister of Denmark announced that all schools, universities and kindergartens will be shut down for two weeks."
2020-03-11,United States,"In the United States, the National Collegiate Athletic Association announced that both its 2020 NCAA Division I Men's Basketball Tournament|Division I Men's Basketball Tournament and 2020 NCAA Division I Women's Basketball Tournament|Women's Basketball Tournament, scheduled from mid-March to early April, will be held without any spectators in attendance."
2020-03-11,Canada,The U.S. and Canada's National Basketball Association announced that it will suspend the remainder of its 2019–20 NBA season|2020 season after players tested positive for the disease.
2020-03-11,United States,U.S. President Donald Trump announced that all travel from Europe (except UK) into the United States will be suspended for 30 days.
2020-03-11,India,"India will suspend visas for travellers, including visa-free travel from 13 March until 15 April, except those on diplomatic, official, employment and project visas. Even travellers allowed to enter will be subject to quarantine orders."
2020-03-11,Israel,"Israel bans gatherings exceeding 100 people after a spike in cases. Schools will continue to remain open, with universities and other higher learning institutes urged to explore distance learning in case of closure. In addition, companies are asked to let employees work from home."
2020-03-11,Other,"The ''Institut Pasteur de Dakar'' and DiaTropix team up with Mologic, a British biotech firm, to develop \""point of need\"" test kits that can diagnose COVID-19 testing|COVID-19 in 10 minutes."
2020-03-12,Other,Stock markets worldwide suffer Black Thursday (2020)|their greatest single-day fall since the Black Monday (1987)|1987 crash in response to the coronavirus pandemic and the previous day's announcement of the 30-day travel ban between the U.S. and Europe.
2020-03-12,Canada,Canadian Prime Minister Trudeau begins a self-quarantine for 14 days after his wife Sophie Grégoire Trudeau|Sophie Trudeau tests positive for the virus.
2020-03-12,Israel,"Israel and Sri Lanka close schools early from 13 March, with term holidays lasting until 20 April to stem the spread of the coronavirus. Schools are also asked to refrain from planning excursions during this period."
2020-03-12,Malaysia,"Singapore closes mosques for five days starting from 13 March for cleaning as a precaution against the coronavirus with prayers cancelled for that day. In addition, activities at the mosques will be stopped until 27 March. This comes after two people were infected from a gathering in Malaysia."
2020-03-12,Singapore,"The Sundown Marathon|Osim Sundown Marathon, supposed to be held on 23 May in Singapore, has been cancelled due to the coronavirus, with runners having direct entry to next year's event. Several other runs have also been postponed too."
2020-03-12,Spain,"The suspension of Cortes Generales, Spain's Parliament, will be extended by 15 days due to the coronavirus."
2020-03-12,Turkey,"Turkey closes all primary, secondary and high schools for a week, and universities for three weeks starting from 16 March. All sports matches will be played without spectators until end of April. Students will continue education from their homes via internet and TV channels from 23 March for a week."
2020-03-12,Canada,"Following the National Basketball Association's suspension of its season one day earlier, other major professional sports leagues in the United States and Canada and sporting organizers do the same. The National Hockey League indefinitely pauses the remainder of its 2019–20 NHL season|2020 season,"
2020-03-12,Other,"The World Health Organization says that the COVID-19 pandemic can be controlled as long as countries take the pandemic seriously. This comes after some countries did not take adequate measures to slow transmission, and also after WHO denied the outbreak was a pandemic."
2020-03-12,Estonia,"Before midnight, the Government of Estonia declared an emergency situation to last until 1 May. Special measures announced for the duration of the emergency situation include a prohibition of all public gatherings, concerts, performances, conferences, sport events, regular study in all schools and universities (remote forms of study are allowed), closure of museums, cinemas; introduction of border checks; and visitation limits to hospitals, social service centres and prisons."
2020-03-12,Australia,"As a result of a McLaren team member testing positive, the entire McLaren team pulled out of the 2020 Australian Grand Prix."
2020-03-12,Greece,"Euroleague Basketball announces all leagues suspension including EuroLeague|the Euroleague and EuroCup Basketball|the Eurocup until an unknown date.The 2020 Summer Olympics torch relay began in Olympia, Greece, in a scaled-down ceremony without spectators. It was the first Olympic flame lighting ceremony to be held without public attendance since 1984."
2020-03-12,France,"|url=https://www.reuters.com/article/us-olympics-2020-flame/tokyo-2020-torch-lit-behind-closed-doors-in-ancient-olympia-idUSKBN20Z1EO|title=Tokyo 2020 torch lit behind closed doors ''sic.'' in ancient Olympia|website=Reuters|accessdate=13 March 2020 |date=12 March 2020}}</ref>Several theme parks in the United States have closed due to the coronavirus. In Orlando, Florida, SeaWorld Orlando, Disney World, Disney Cruise Lines, and Universal Orlando Resort have closed. In California, Disneyland and Universal Studios Hollywood have closed too. Separately, Disneyland also closed its Disneyland Paris park in France."
2020-03-13,Australia,"With a member of the McLaren team testing positive the day before, and the team withdrawing from the race, Formula One|F1 and the Fédération Internationale de l'Automobile|FIA decided to cancel the opening round of the 2020 Formula One World Championship, the Australian Grand Prix."
2020-03-13,Other,The Auckland Council canceled the annual Pasifika Festival in Auckland in response to health concerns about the coronavirus.
2020-03-13,Australia,"Cricket Australia announced that the New Zealand cricket team in Australia in 2019–20|three-match series against New Zealand would go ahead, but that fans would not be admitted into the venue."
2020-03-13,Czech,"The Czech Republic announced a complete travel ban effective midnight on 16 March, banning all foreigners from entering and Czech nationals and long-term resident foreigners from leaving the country. The lockdown will be effective for the duration of the 30-day state of emergency declared on 12 March."
2020-03-13,France,"Singapore banned travellers from France, Germany and Spain, and places citizens and residents from affected countries under quarantine for 14 days."
2020-03-13,Switzerland,"Switzerland issued sweeping restrictions on places of public gatherings, closing schools throughout the country and imposing a ban on public gatherings of more than 100 people until 30 April."
2020-03-13,Other,"U.S. President Donald Trump declared a national state of emergency, allocating about US$50 billion of U.S. federal government money for relief efforts. In response, US stock market Dow Jones Industrial Average posted its largest single-day gain since October 2008."
2020-03-13,England,"In the UK, the Premier League, along with the English Football League and FA Women's Super League, suspended their respective seasons until April after both Arsenal F.C. manager Mikel Arteta and Chelsea F.C. player Callum Hudson-Odoi tested positive for the disease."
2020-03-13,Other,Apple Inc. announced that their annual Apple Worldwide Developers Conference|Worldwide Developers Conference (WWDC) will be held as an online-only conference for the first time as a precaution.
2020-03-13,Australia,Australia's chief medical officer advised the government to ban mass gatherings of more than 500 people to stop the coronavirus.
2020-03-13,Panama,"In Panama, businesses began to impose and enforce limits on how many food and personal hygiene items a customer may buy at a time."
2020-03-14,New Zealand,The New Zealand Government cancelled the Christchurch mosque shootings memorial service scheduled to be held at Christchurch's Horncastle Arena on 15 March due to COVID-19 concerns.
2020-03-14,Malaysia,"Prime Minister of Malaysia|Malaysian Prime Minister Muhyiddin Yassin ordered the cancellation or postponement of all public gatherings including international meetings, sport, social and religious events until 30 April due to COVID-19 concerns."
2020-03-14,Georgia,"The US State of Georgia announced they would move their primary election for president from 24 March to 19 May, becoming the second state to do so after Louisiana."
2020-03-14,Other,US President Donald Trump had his physician release a memo which suggested he tested negative for the virus.
2020-03-14,Panama,Panama banned all flights from and to Europe and Asia for 30 days. The Panamanian government also began to regulate activities involving over 50 people.
2020-03-15,Indonesia,"All schools in Banten province of Indonesia are closed until 28 March. This comes after the Governor of Banten Wahidin Halim declared the virus an \""extraordinary event\"". Other provinces such as Jakarta, Central Java, West Kalimantan, and West Java also did the same thing."
2020-03-15,Brunei,"Brunei banned all citizens and foreign residents from leaving in response to the coronavirus pandemic. The Ministry of Health (Brunei)|Ministry of Health has also banned mass gatherings including weddings and sporting events. In addition the National Football Association of Brunei Darussalam, the Tutong District Amateur Football Association League, and the Brunei Basketball Association have suspended all matches and games."
2020-03-15,Finland,"Finland has ceased testing for people returning from trips abroad, and all of the people suffering flu symptoms in the country. The tests are now reserved for health professionals only."
2020-03-15,India,Indian Prime Minister Narendra Modi proposed a South Asian Association for Regional Cooperation|SAARC fund called SAARC COVID-19 Emergency Fund to tackle coronavirus via video conference. He proposed setting up a volunteer basis Coronavirus disease 2019|COVID-19 emergency fund with India committing United States dollar|USD 10 million initially for it.
2020-03-15,China,"South African President Cyril Ramaphosa declared a national state of disaster in terms of the Disaster Management Act and declared measures to be put in place that comprised imposing a travel ban on foreign nationals from high risk countries, including Italy, Iran, South Korea, Spain, Germany, the United States, the United Kingdom, and China; performing high-intensity screening on travellers from medium-risk countries, such as Portugal, Hong Kong, and Singapore, as well as testing and isolation for South African citizens returning from high-risk countries; closing 35 of the 72 land, sea, and air ports of entry; the prohibition of gatherings of more than 100 people; the closing schools from 18 March 2020 until mid April 2020; and the suspension of visits to correctional centres (prisons and rehabitiation facilities) for 30 days."
2020-03-15,Panama,"The Panamanian government began to enforce the temporary closure of all businesses where large (over 50) numbers of people may gather, including pubs, cinemas, grills, casinos, gyms, convention centers and stadiums. Supermarkets may only have up to 50 customers inside at any given time, with ingress being regulated. Activities (like parties and weddings) are banned from having over 50 people present at any given time, and violations are punishable with forceful termination of the activity and a fine. The government also banned people from visiting beaches and other similar places (like large rivers)."
2020-03-16,Australia,"The Australian Border Force suspends the removal operations of New Zealand citizens to New Zealand up to 30 March, effective midnight 16 March."
2020-03-16,Canada,"Canadian Prime Minister Justin Trudeau announces restrictions to entry into Canada, allowing only Canadian and American citizens, permanent residents, closest family of citizens, diplomats, and air crew. Any Canada-bound passengers showing symptoms of COVID-19 would be refused boarding."
2020-03-16,Costa Rica,"Costa Rican Health Minister Daniel Salas confirmed 41 cases of coronavirus. The government also decreed a state of national emergency. Classes were suspended in all public and private schools and colleges until 4 April. Borders would be closed starting Wednesday, 18 March and last until 12 April, Costa Ricans and permanent residents have no entry restriction. Those entering must remain in quarantine for at least 14 days."
2020-03-16,Guatemala,Guatemalan President Alejandro Giammattei announced Guatemala will close its borders for two weeks as part of measures to contain the virus.
2020-03-16,Malaysia,Malaysian Prime Minister Muhyiddin Yassin bans Malaysian citizens from going overseas and foreigners from entering Malaysia from 18 to 31 March. Malaysians returning from overseas will have to go through health checks and a 14-day self-quarantine.
2020-03-16,Singapore,"Pink Dot SG, an event in support of the LGBT community in Singapore supposed to be held on 27 June, is cancelled due coronavirus pandemic, the first time it did so. In its place will be a livestreaming session where people can tune in."
2020-03-16,United States,"President of the United States|US President Donald J. Trump refers to COVID-19 as the \""Chinese virus,\"" drawing List of incidents of xenophobia and racism related to the 2019–20 coronavirus pandemic|allegations of racism from Chinese and WHO officials."
2020-03-17,New Zealand,New Zealand Minister of Health (New Zealand)|Health Minister David Clark (New Zealand politician)|David Clark announced that New Zealand Government will deport foreign tourists who flout government requirements to self-quarantine for two weeks.
2020-03-17,New Zealand,"Jon Landau, the co-producer of the ''Avatar (2009 film)|Avatar'' Avatar 2|film Avatar 3|sequels, announced that film production at the New Zealand–based Stone Street Studios had been suspended in response to the coronavirus outbreak. However, filming will continue in Los Angeles."
2020-03-17,Panama,Panama banned all non-resident foreigners from entering the country. Panamanian authorities also began to use the #QUEDATEENCASA (#STAYATHOME) hashtag on social media in an attempt to convince people to stay at home in self-quarantine.
2020-03-18,Netherlands,"The Eurovision Song Contest 2020|Eurovision Song Contest, planned to be held in Rotterdam, The Netherlands, was cancelled."
2020-03-18,New Zealand,The New Zealand Ministry of Foreign Affairs and Trade (New Zealand)|Ministry of Foreign Affairs and Trade (MFAT) urged all New Zealanders traveling overseas to return home in response to the spread of the coronavirus.
2020-03-18,Australia,The New Zealand and Australian Governments canceled Anzac Day services scheduled to be held at Gallipoli in Turkey in response to travel restrictions and the coronavirus outbreak.
2020-03-18,Singapore,"After cases increased quickly, Singapore announced that Stay-Home Notices will apply to all travellers arriving into Singapore from 20 March. Travellers are also advised to delay travel plans, with more social distancing measures soon."
2020-03-18,China,"Panama imposed a nationwide curfew, effective everyday from 9pm to 5pm of the next day. The curfew can be enforced with everyone, regardless of age, race, etc. It was imposed to prevent the spread of the virus. Panamanian president Nito Cortizo ordered the construction of a modular hospital, similar to China's purpose built hospitals, to be completed within a month. Panama also closed its land border with Costa Rica, and began to operate a Whatsapp number to allow people to consult a doctor. Panamanian authorities later began to explore the possibility of a mandatory nationwide quarantine, and allowing only one person per household to buy groceries and pharmaceuticals."
2020-03-18,England,"The United Kingdom announced that all schools, colleges and nurseries would be closed from 21 March until further notice - with the exception for children of \""key workers\"" and vulnerable children - and that A Level and GCSE examinations in May and June would be cancelled in England and Wales."
2020-03-19,Australia,Australian Prime Minister of Australia|Prime Minister Scott Morrison announced that Australia would be closing its borders to all non-residents and non-Australian citizens from 9pm on 20 March.
2020-03-19,New Zealand,"The Royal New Zealand Returned and Services' Association canceled all Anzac Day services, scheduled for 25 April."
2020-03-19,Argentina,"Argentine President Alberto Fernández announced a mandatory quarantine, in effect from midnight on 20 March until 31 March."
2020-03-19,Other,Playboy magazine ceases print production in part to disruptions in its supply chain.
2020-03-19,Other,"The mayor of Boise, Idaho, Lauren McLean, orders the closure of all restaurants and bars (with the exception of those with take-out, delivery, or drive-thru options) for 30 days effective as of 12:01&nbsp;a.m. Friday."
2020-03-20,New Zealand,"The Auckland Council closes all public libraries, swimming pools, and recreational centres in Auckland, New Zealand's largest city."
2020-03-20,Panama,"In Panama, the government announced the banning of all international passenger flights to and from Panama effective 22 March, for 30 days. Copa Airlines announced a temporary cease of operations, also effective 22 March for 30 days. The government also announced the forceful temporary closure of all businesses, with the exception of those working on the food, pharmaceutical, health, banking, construction, logistics, telecommunications, transport, agroindustrial, animal feed, security and other related industries, as well as supermarkets, convenience stores, lawyers, veterinary clinics, call centers, funeral homes and laundromats. Restaurants may only serve take-out, drive-thru or delivery orders. Church services involving over 50 people were also suspended. The national lottery also suspended its draws. The government established several \""epidemiological fences\"" to prevent unauthorized persons from spreading the virus to the areas protected by the fences."
2020-03-20,Dominican Republic,"The Dominican Republic|Dominican government began to enforce a curfew, similar to Panama's curfew, but effective from 8 PM to 6 AM of the next day, until April 3."
2020-03-20,United States,"After mid-March 2020, the Federal government of the United States|Federal government made a major move to use the US military to initiate and lead an effort to rapidly grow Covid-19 intensive care facilities nationwide.  The US Army Corps of Engineers, under existing statutory authority that comes from authorizations and powers of FEMA, will be rapidly leasing a large number of buildings across the US in hotels and in larger open buildings to immediately grow the number of rooms and beds with intensive care unit|ICU capability for patients of the 2020 coronavirus pandemic.  A public briefing of the plan was given by Army General Todd T. Semonite|Todd Semonite on 20 March 2020. The Corps of Engineers will handle leasing and engineering, with contracts for rapid facility modification and setup issued to local contractors.  The plan envisions that the operation of the facilities and the provision of medical staff would be entirely handled by the various US States rather the Federal government."
2020-03-21,New Zealand,"New Zealand Prime Minister Jacinda Ardern introduces a four-level COVID-19 alert system. New Zealand is currently on Level 2 where people over the age of 70 or with compromised immune systems are encouraged to stay at home, and all non-essential domestic travel to be curtailed."
2020-03-21,Australia,"In Australia, a biosecurity in Australia|human biosecurity emergency was declared by the  Australian government|federal government under the ''Biosecurity Act 2015'', after a National Security Committee (Australia)|National Security Committee meeting the previous day with Australian states and territories|state and territory governments."
2020-03-21,Other,Global streaming services Netflix and YouTube reduce their video quality in the European Union to help prevent Internet gridlock as tens of millions of Europeans work at home or self-isolate.
2020-03-21,Other,Disney will close the Aulani resort in Hawaii from 24 March until the end of the month to protect against the coronavirus.
2020-03-22,Canada,"The Canadian Olympic Committee and the Canadian Paralympic Committee have called for the postponement of the 2020 Tokyo Olympic Games, warning that they will not send athletes if the Games go ahead on 24 July."
2020-03-22,India,India observed a 14-hour long curfew both to try and combat the coronavirus pandemic and assess the country's ability to fight the virus.
2020-03-22,Malaysia,"Singapore banned all travellers starting from 23 March, 11:59&nbsp;p.m. This comes after a spike in imported cases of COVID-19. Only people working in essential services like healthcare services and transport will be allowed into Singapore during this time. In addition, the Singapore-Malaysia Special Working Committee have agreed to have Malaysians with work permits to continue working in Singapore. Discussions are ongoing."
2020-03-22,Other,"The British television channel ITV (TV channel)|ITV suspends production of several television programmes including ''Coronation Street'', ''Emmerdale'', and the talk show ''Loose Women''."
2020-03-22,United States,A stimulus vote in the United States to lessen the coronavirus impact fails to pass after falling short of the required votes. This comes after several Democrats voted against the bill due to insufficient worker protections.
2020-03-23,New Zealand,"In response to a spike in cases, the New Zealand Government has raised the national COVID-19 alert level to three in preparation for a nationwide lockdown that will come into effect midnight 26 March. As part of the nationwide lockdown that will come into effect on 26 March, the COVID-19 alert level will be raised to four. Schools, all indoor and outdoor events, most businesses, and cafes will be required to shut down. However, essential services such as supermarkets, petrol stations, and health services will remain open."
2020-03-23,Singapore,Singapore announced that all arriving travellers will be required to fill up online health declaration forms before undergoing immigration clearance from 27 March as a protection measure against the coronavirus.
