Date,Country,Event
2020-02-04,Hong Kong,"Princess Cruises confirmed quarantine of the Diamond Princess (ship)|Diamond Princess carrying about 3,700 people after one of its passengers tested positive in a  Hong Kong hospital,"
2020-02-04,Other,"Hyundai Motor Group|Hyundai, blaming a parts shortage due to the effects of coronavirus infection, announces it will shut down some production."
2020-02-04,Hong Kong,"Air India announces that starting from 8 February, they will temporarily suspend flights to Hong Kong."
2020-02-04,Singapore,An aviation conference during the Singapore Airshow is cancelled to allow leaders to deal with the coronavirus. This comes after 16 exhibitors pulled out of the Airshow.
2020-02-05,Hong Kong,|access-date=24 February 2020 |website=The Straits Times |date=4 February 2020}}</ref>United Airlines and American Airlines suspended US flights to and from Hong Kong.
2020-02-05,United States,"Hundreds more Americans were evacuated by two planes from Wuhan to the United States, landing in this case at Travis Air Force Base near Sacramento, California. One of the planes would continue on to Marine Corps Air Station Miramar in San Diego. All evacuees would undergo a two-week quarantine. \""Inbound evacuation flights to Wuhan were using their cargo space to deliver donated medical supplies for coronavirus relief efforts.\"""
2020-02-05,China,Hong Kong announced the beginning of a mandatory two-week quarantine for all visitors from mainland China or Macau.
2020-02-05,China,"Taiwan banned entry of non-citizens who have been to mainland China, Hong Kong or Macau within the past 14 days."
2020-02-05,Colombia,"With the US CDC's endorsement, Colombia INS confirmed that it to be the first country in Latin America that might detect the novel coronavirus without sending samples to foreign centers."
2020-02-05,Canada,"Canadian Minister of Foreign Affairs (Canada)|Minister of Foreign Affairs François-Philippe Champagne advised all Canadians in China but outside the quarantine zone to leave the country \""via commercial means\""."
2020-02-05,China,"India starts scanning passengers in flights coming from  Singapore and  Thailand, along with further travel restrictions on  China to prevent the spread of the virus."
2020-02-05,Other,"The Bill & Melinda Gates Foundation committed over $100 Million for better detection, isolation, and treatment research for the virus."
2020-02-05,China,"Yum China Holdings temporarily closed 30% of all Pizza Hut's and KFC's that they operate in China, due to the virus epidemic."
2020-02-05,Other,"Tesla, Inc.|Tesla stated that due to the virus epidemic, there would be a delay in the shipment of their Tesla Model 3 car, as they are produced and assembled in a new plant at Shanghai."
2020-02-05,Other,"World Health Organization (WHO) stated that there had been a large surge in new cases in the 24 hour period, of an amount that had not been seen in any day since the start of the epidemic."
2020-02-05,Other,"Countering rumors in the media, the World Health Organization|WHO stated that there are no known therapeutics, drugs, or treatments that are effective for the virus yet."
2020-02-06,Korea,"A business meeting held in mid-January 2020 at the Grand Hyatt in Singapore of an unnamed international sales company resulted in the infection of four persons in attendance: one from Malaysia, one from Korea and two from Singapore."
2020-02-06,Australia,"Virgin Australia announced the permanent cancellation of its Hong Kong routes, citing the coronavirus outbreak and anti-government protests."
2020-02-06,Hong Kong,Taiwan suspended visas for Hong Kong and Macau citizens.
2020-02-06,China,The Singapore government stated that a 14-day leave of absence would be mandatory for all workers who return from China.
2020-02-06,Hong Kong,Panic buying of consumer goods was reported in Hong Kong due to rumors of an impending quarantine.
2020-02-06,France,"Virgin Atlantic|Virgin, KLM, Air France, American Airlines (not including the  Hong Kong route), and Iberia (airline)|Iberia extended their current flight suspensions till sometime in March."
2020-02-06,China,Volvo stated that two plants in China were still not reopened and will reopen after a few more weeks.
2020-02-06,Other,Shinzo Abe stated that the 2020 Summer Olympics would not be postponed.
2020-02-06,Canada,Canada started the evacuation of its citizens from Wuhan.
2020-02-06,Other,"The Better Business Bureau warned about face mask scams that attempt to use the ongoing fears and make false claims.  The scams will either give low-quality or incorrect masks, or will send no mask at all when paid."
2020-02-06,Other,"The Pentagon was asked by the Department of Health and Human Services (HHS) to provide  military installations near 11 major airports that could each house up to 220 U.S. citizens in support of coronavirus quarantines. The DoD facilities and the airports they could support include:  Joint Base Pearl Harbor-Hickam, Hawaii, near Honolulu International Airport; Great Lakes Training Center Navy Base, Ill., by Chicago's O'Hare International Airport; Naval Air Station Joint Reserve Base, Texas, close to Dallas/Fort Worth International Airport; March Air Reserve Base (ARB), Calif., by Los Angeles International Airport; Travis Air Force Base (AFB), Calif., near San Francisco International Airport; Dobbins ARB, Ga., near Hartsfield–Jackson Atlanta International Airport; Fort Hamilton, N.Y., by John F. Kennedy International Airport; Naval Base Kitsap, Wash., near Seattle-Tacoma International Airport; Joint Base Anacostia-Bolling, D.C., by Dulles International Airport; Joint Base McGuire-Dix-Lakehurst, N.J., by Newark Liberty International Airport; and Fort Custer Training Center, Mich., near Detroit Metropolitan Airport."
2020-02-06,Other,"Professor Neil Ferguson, director of the MRC Centre for Global Infectious Disease Analysis at Imperial College London is summarized in a news report as saying \""that the true scale of the coronavirus isn't being reported by Chinese officials and claims that around 50,000 new cases are emerging in the country daily.\"""
2020-02-06,Singapore,Welsh singer Novo Amor postponed a concert in Singapore to July.
2020-02-07,United States,|access-date=24 February 2020 |website=The Straits Times |date=6 February 2020}}</ref>The White House asked scientists in the US to investigate the origins of the virus. One of the reasons for this was because of the large amount of misinformation that is available about the virus online.
2020-02-07,China,Many colleges across the world were starting to reconsider and look into reviewing current student plans for Study abroad programs to and/or from China. This was due to the health safety for the students.
2020-02-07,Singapore,"The third British citizen who contracted coronavirus did so through travel to  Singapore. \""The government is now telling travellers arriving in the UK from a total of nine Asian countries and territories to check for symptoms. They are advised to stay at home and call the NHS if they are ill and have flown home in the past 14 days.\"""
2020-02-07,Singapore,"Singapore raises its contagion threat level to Orange, as the virus is spreading there from unknown origins."
2020-02-07,Hong Kong,"Two Hong Kong jewelry trade fairs, hosted by the Hong Kong Trade Development Council, got rescheduled due to the virus epidemic."
2020-02-07,Canada,"The Canadian evacuation plane landed in British Columbia for refueling. The plane was also carrying Chinese nationals and citizens who have valid visas for Canada, these were for escorting Canadian minors. The planes final destination is CFB Trenton."
2020-02-07,Other,"Continuing the evacuation of American citizens from Wuhan, a rescue plane is landing in Omaha, Nebraska today."
2020-02-07,Hong Kong,"Royal Caribbean International|Royal Caribbean cruise lines bans Chinese, Hong Kong and Macau passport holders, as well as travelers who have been in those locales within the last 14 days."
2020-02-07,China,The United States announced aid of up to $100 million for China and other nations affected by the new coronavirus.
2020-02-07,Canada,The first Canadian evacuation plane lands at its final destination.
2020-02-07,Other,Honda shuts down 3 of its plants around the Wuhan region area till 13 February.
2020-02-07,United States,The Federal Reserve Bank warns that the virus is a potential threat to the growth of the US economy.
2020-02-07,China,VF Corporation announces that its subsidiary Vans has temporarily closed 60% of all its stores in China.
2020-02-07,China,Burberry temporarily closes a third of their stores in China.
2020-02-07,India,India offers to test samples for other Southeast Asian countries.
2020-02-07,Other,"Nvidia withdraws from the Barcelona Mobile World Congress by informing the GSMA, due to the threat of the virus."
2020-02-07,Singapore,"98 Degrees postponed its Singapore concert due to the coronavirus, which was supposed to be held on 20 February."
2020-02-07,Other,"Performances of First Fleet, a Mandarin play originally planned from 14 to 23 February, were  rescheduled to March 2021."
2020-02-07,Singapore,"Lockheed Martin and Raytheon decided to pull out of the Singapore Airshow as coronavirus fears have caused event turnout to drop. Meanwhile, the United States Department of Defense reduced the size of its delegation for the Airshow."
2020-02-08,Vietnam,"The school break in Vietnam was extended in all 63 first-level subdivisions, with the majority to 16 February and five to an unspecified time."
2020-02-08,China," |title=63/63 tỉnh, thành phố kéo dài thời gian nghỉ học cho học sinh |last= |date= |website=tuoitre.vn |language=vi |access-date=8 February 2020 |trans-title=63/63 cities and provinces to extend the school break for students}}</ref>Apple Inc.|Apple extends the shutdown period of its stores and corporate offices in China.  They will reopen at some time during the week of 10 February which is the week after the originally stated week Apple said they will reopen."
2020-02-08,Hong Kong,"Norwegian Cruise Line bans Chinese, Hong Kong, and Macau passport holders, or any one who visited these regions in the past 30 days."
2020-02-08,Other,Hyundai Motor Group|Hyundai has shut down its largest factory due to lack of wiring that connects the electronic systems in its cars.
2020-02-08,Indonesia,"Indonesia advised travellers to take precautions and be alert while in Singapore, with the government raising the travel alert to Yellow, the second out of three tiers."
2020-02-09,Kuwait,The Kuwait|Kuwaiti Embassy in Singapore called its citizens to delay their travel plans after the Singaporean government raised the coronavirus alert level to Code Orange.
2020-02-09,Malaysia,Malaysia expands their Chinese traveler ban to include the provinces of Zhejiang and Jiangsu.
2020-02-09,France,Families in the French village Les Contamines-Montjoie get lined up to get tested for the virus.
2020-02-09,Hong Kong,"Israel has advised travellers to delay travel to countries and territories hit by the coronavirus. In the mention are Singapore, Thailand, South Korea, Japan, Taiwan, Macau and Hong Kong."
2020-02-10,Other,"Amazon (company)|Amazon, Sony, and Ericsson states that they will not partake in the Barcelona Mobile World Congress due to the virus."
2020-02-10,Other,The virus daily death toll reaches a new record of 97 people dead from the virus in a single day.
2020-02-10,Other,Asian stock markets fell and went into red due to investor fears relating to the virus impact on the economy.
2020-02-10,Brazil,"The plane that was taking people who lived in Brazil or were citizens back home landed in Brazil. The people on the aircraft were taken into quarantine.  Before landing in Brazil, that plane landed in Poland, as the plane when it left China were also taking 6 people back to Poland."
2020-02-10,Singapore,"HSBC Women's World Championship, LPGA Tour Championship, and LPGA cancelled two more events overall within Singapore and Thailand due to the virus.  Thus meaning only two more events remain uncancelled."
2020-02-10,Singapore,The United Kingdom included Singapore in a list of countries where travelers returning are advised to self-isolate if they have symptoms as a precautionary measure.
2020-02-10,Singapore,Sarawak imposed a 14-day quarantine for travelers coming from Singapore in a bid to slow down the spread of the coronavirus. This comes after Singapore's DORSCON was raised to Orange on 7 February.
2020-02-10,Singapore,Over 70 exhibitors have decided to withdraw or not take part in the Singapore Airshow due to the virus.
2020-02-10,Japan,"An event commemorating the release of Japanese voice actress Miku Itō's sixth single, the theme song for the anime ''Plunderer (manga)|Plunderer'', is delayed by her record label Nippon Columbia due to concerns about the outbreak."
2020-02-11,Singapore,"The Global Grain Conference that was going to take place in Singapore, has been postponed to sometime in June and/or July, due to the virus."
2020-02-11,Hong Kong,"Authorities in Hong Kong evacuate a Tsing Yi Estate apartment building, after two residents who lived separately got diagnosed with the virus."
2020-02-11,China,"The virus is lowering crude prices worldwide, as China's demand for crude oil decreases due to shutdowns, lockdowns, fears, and other measures."
2020-02-11,China,"South Korea has advised travellers to delay travel to countries and territories hit by the coronavirus; mentioned are Singapore, Malaysia, Thailand, Vietnam, Japan, and Taiwan in addition to mainland China."
2020-02-11,Hong Kong,"Taiwan urged travellers to take precautions when travelling to Singapore or Thailand, and to avoid Hong Kong or Macau unless absolutely necessary."
2020-02-11,Malaysia,Singapore and Malaysia will form a joint working group to prevent and control the coronavirus infection.
2020-02-11,Thailand,"The Thailand public health minister does not allow a Holland America Line|Holland America cruise ship, ''MS Westerdam'' to disembark in the country.  The reason cited by the public health minister is that there are 32 cases in Thailand."
2020-02-11,China,"During a live broadcast on the Fox Business Network, anchor Maria Bartiromo suggests China developed COVID-19 as a biological weapon of mass destruction and deliberately attempted to infect United States diplomats at the White House and in Davos, Switzerland."
2020-02-12,China,American Airlines extend their flight suspensions to Hong Kong and China through some point in late April.
2020-02-12,Other,The WHO states that the Coronavirus vaccine could be ready in approximately 18 months.
2020-02-12,Austria,"The United States Postal Service, Singapore Post, PostNord Sverige, and Austrian postal services will temporarily stop sending mail or other postal services to China, and/or Hong Kong as well as Macau. This is due to the available flight shortages and flight suspensions, which is making it hard to send mail to China, Hong Kong, and Macau."
2020-02-12,China,Bulgari CEO states that half of its stores in the greater China region have been temporarily closed due to the virus.
2020-02-12,Other,"The Formula 1 Chinese Grand Prix 2020 which is set to held in April, was postponed to a later date due to the outbreak."
2020-02-12,Other,The Dalai Lama announced he stopped all public engagement due to the outbreak.
2020-02-12,Other,"The Mobile World Congress (MWC), due to start on 24 February, is cancelled."
2020-02-12,United States,Centers for Disease Control and Prevention|CDC announces that a diagnostic kit it developed does not work. This kit was made available to certified laboratories in the United States besides being shared with more than thirty countries. Due to a possible problem with one of the reagents some results could be made inconclusive (neither positive nor negative).
2020-02-12,Germany,"According to the Deutsche Bank, the outbreak of COVID-19 may contribute to a recession in Germany."
2020-02-12,Russia,"Three people escape a quarantine facility in Russia. They did this because according to them, the conditions and officials of the quarantine were not good."
2020-02-12,Greece,"Cancellations in hotel bookings in the Greek island of Santorini have climbed up to 60-70% in the months of February and March, while there are fears of 100% cancellations for April."
2020-02-13,Other,WHO affirmed that the slowdown in the number of new infections should be taken cautiously as the situation can change in any direction.
2020-02-13,Vietnam,"A lockdown on Sơn Lôi Commune (Vĩnh Phúc Province, Vietnam) was implemented by the authorities after five investigated cases had been infected by a cluster. This would last until 3 March."
2020-02-13,Japan,Japan announced that a woman in her eighties outside of Tokyo has died. Two taxi drivers also were tested positive.
2020-02-13,China,A solo traveler from China was quarantined at Lackland Air Force Base in Texas.
2020-02-13,Portugal,"Champalimaud Foundation, a Portuguese private biomedical research foundation, announced the cancellation of a conference that was programmed to happen on 12 to 13 March."
2020-02-13,Other,European Union ministers of health held a meeting in Brussels.
2020-02-13,Cambodia,"The ship ''MS Westerdam'' was allowed to dock in Sihanoukville (city)|Sihanoukville, Cambodia."
2020-02-14,China,Portugal announced one more suspected case of a child of unspecified age that had returned from China.
2020-02-14,China,"In Bragança, Portugal|Bragança, Portugal, two Chinese college students agreed to stay on a voluntary quarantine when they return to Bragança. Although they did not show symptoms and neither had they been in contact with infected persons as far it was known, the reason for the quarantine was a recent holiday travel to China."
2020-02-14,United Kingdom,"In the United Kingdom, two Members of Parliament, Lilian Greenwood and Alex Sobel, self-quarantined after learning that they had attended a conference on 6 February where a confirmed case had also been in attendance."
2020-02-14,Germany,"A German citizen in Palma de Mallorca was released from hospital quarantine after he had been tested negative twice. Previously, he had tested positive for SARS-CoV-2 and was always asymptomatic."
2020-02-14,Egypt,The first case of coronavirus infection on the African continent was reported in Egypt.
2020-02-14,Singapore,"Grab (company)|Grab started GrabCare for healthcare workers in Singapore. This came after reports of increased discrimination due to the COVID-19 situation, making it difficult for healthcare workers to get rides."
2020-02-14,Japan,Japanese singer and voice actress Yui Ogura will now require attendees at her Valentine's Day event commemorating her fourteenth single to wear masks.
2020-02-14,Singapore,The Catholic Church of Singapore will suspend masses indefinitely from noon of 15 February in view of the coronavirus.
2020-02-15,United States,The United States announced it would evacuate Americans currently aboard the cruise ship Diamond Princess (ship)|''Diamond Princess''.
2020-02-16,Portugal,"The Portuguese Directorate General for Health announced it was compiling a list of hospitals in Portugal that might reinforce, if needed, the three hospitals already prepared to received patients. The list should have been ready by 17 February."
2020-02-16,Portugal,"According to the responsible of Portugal's medical emergency services (INEM), Portugal currently had four ambulances prepared to transport patients with the novel coronavirus to the referenced hospitals."
2020-02-17,United States,American passengers evacuate the Diamond Princess (ship)|''Diamond Princess'' and will return to the US. They will be held in quarantine for 14 days.
2020-02-17,China,Singapore will enforce Stay-Home Notices for all Singapore residents and long-term pass holders returning from China taking effect from 18 February. They will not be allowed to leave home during the next 14 days.
2020-02-17,Malaysia,"Following the confirmation of infection aboard the MS Westerdam|MS ''Westerdam'', the Malaysian authorities barred passengers who had traveled on the luxury cruise ship from entry."
2020-02-17,Japan,Naruhito|Japanese Emperor Naruhito's birthday ceremony and greetings to the public on 23 February will be cancelled.
2020-02-17,China,"The Israeli Ministry of Health (Israel)|Ministry of Health requested people returning from Asian countries and territories to self-quarantine. In the mention are mainland China, Taiwan, Macau, Hong Kong, Singapore, Thailand, South Korea and Japan."
2020-02-17,Other,"The Tokyo Marathon, due to take place on 1 March, will be restricted to elite runners and wheelchair athletes."
2020-02-17,Other,"The seventh episode of ''A Certain Scientific Railgun T'', \""Auribus oculi fideliores sunt. (The eyes are more trustworthy than the ears)\"", is replaced by a rerun of the sixth episode due to production delays associated with the virus outbreak."
2020-02-18,China,"Getty Images confirmed that it was protecting the identity of photojournalists in China \""due to worries about their safety\""."
2020-02-18,Japan,"Bushiroad, a Japanese entertainment company best known for creating the ''BanG Dream!'' and ''Revue Starlight'' multimedia franchises, announced that they would postpone and cancel several events up to 19 March due to the outbreak, and that they would offer refunds."
2020-02-18,Singapore,Singapore's Deputy Prime Minister and Ministry of Finance (Singapore)|Finance Minister Heng Swee Keat announced S$6.4 billion in reliefs to help businesses and citizens tide through the crisis.
2020-02-18,Other,"|access-date=20 March 2020 |website=The Straits Times |date=18 February 2020}}</ref> Of these, a S$4 billion Stabilisation and Support Package will be given to hard-hit businesses as well as for retraining workers,"
2020-02-18,Other,"|access-date=20 March 2020 |website=The Straits Times |date=18 February 2020}}</ref> with a S$1.6 billion Care and Support Package to help household expenses. An additional S$800 million will be set aside, especially for healthcare efforts."
2020-02-18,Singapore,"|access-date=20 March 2020 |website=The Straits Times |date=18 February 2020}}</ref> A planned Goods and Services Tax (Singapore)|Goods and Services Tax hike to 9% will not take place in 2021 owing to the economic impact, with a S$6 billion Assurance Package should the hike take effect."
2020-02-19,Other,"The Nipponbashi Street Festa in Osaka, a cosplay event described as the biggest of its kind, was cancelled due to concerns with the virus outbreak."
2020-02-19,Singapore,"Mediacorp, Singapore's main broadcaster, cancelled its Star Awards ceremony, initially scheduled for 26 April due to concerns over the ongoing outbreak."
2020-02-20,Other,"Macau reopened all casinos after a 15-day closure. However, all patrons and service staff would be required to wear masks as part of enhanced measures to reduce the virus spread."
2020-02-20,China,"Israel banned passengers who have been to China, Hong Kong, Thailand or Singapore in the previous 14 days."
2020-02-20,China,"In Novi Sanzhary, Ukraine, the buses carrying the evacuees from China were attacked by a mob hurling stones and engaging in violent clashes with the police."
2020-02-20,Iran,"Iraq halted travel to and from Iran after the number of cases spiked there. At the same time, travellers from Iran will not be allowed entry."
2020-02-21,Korea,"South Korea designated Daegu and Cheongdo County as \""special care zones\"", coming after a spike in cases reported. The government also announced plans to send military medical staff and temporary isolation facilities to stop the virus. In Seoul, large protests and demonstrations held on weekends would not be allowed. The military also banned all soldiers from taking leave, leaving the barracks and receiving guests. Residents in Daegu were advised to stay indoors, with commanders of a major US base imposing movement restrictions."
2020-02-22,Iran,"Kuwait halts flights to and from Iran, and imposed a ban on travellers arriving from Iran as a precaution. Any Kuwaiti returning will be isolated. In addition, authorities there advised against travel to Iran."
2020-02-22,Other,"Samsung shut its phone factory in Gumi until 24 February, with the floor the infected employee worked shut until 25 February. This comes after a cases was confirmed involving a worker there."
2020-02-22,Australia,"Australia announced an easing of travel restrictions for Chinese students in Year 11 or 12 except for those in Hubei, which will be considered on a case-by-case basis. The students will need to get approval from states and territories, as well as the schools involved. Similar exemptions for Chinese university students are being considered."
2020-02-23,Iran,Turkey shut down its border with Iran and banned all incoming flights as a precaution for stopping the spread of disease after Iran had reported 43 cases.
2020-02-23,Italy,"Italy introduces strict measures which place almost 50,000 people in lockdown in an attempt to control the virus. Fines are imposed on those caught entering or leaving outbreak areas."
2020-02-23,Korea,"South Korea raises its disease alert to the highest level, coming after the number of cases had continued to increase sharply."
2020-02-23,Korea,"Singapore expanded its health advisory to Daegu and Cheongdo in South Korea, advising travellers to \""avoid non-essential travel\"". At the same time, the definition of suspect cases was expanded to include travellers arriving from these two cities."
2020-02-23,Iran,Kuwait banned ships coming from Iran to stopping at its ports due to the coronavirus.
2020-02-23,Australia,"Israel extended its travel ban to Japan and South Korea taking effect the following day, following a previous travel ban that included Taiwan, Italy, Australia, and Macau."
2020-02-23,Taiwan,"Taiwan banned its healthcare professionals in hospital from travelling out to manage the shortage of workers amid the outbreak. Those who need to attend important meetings overseas have to seek permission. This comes after three local governments banned travel by public servants. In addition, military personnel are advised to avoid places affected by COVID-19, with quarantine imposed should they return from these places."
2020-02-24,Iran,Oman halted flights to and from Iran with immediate effect. This comes after its first confirmed case there.
2020-02-24,Germany,In Germany the Light + Building|Light + Building Trade Fair in Frankfurt was postponed until September.
2020-02-24,Iraq,"In Najaf, Iraq, mid-year exams which had already started will be cancelled until further notice to protect the health of students."
2020-02-24,Iran,UAE banned citizens from travelling to Iran and Thailand as a precaution against the coronavirus.
2020-02-24,Hong Kong,"Hong Kong bans travellers arriving from South Korea starting from 25 February at 6am. This comes after the number of cases there increased sharply. Authorities there have also advised against trips there, with a quarantine of 14 days imposed should Hong Kong residents arrive from Daegu and Cheongdo. Several tour groups have since cancelled trips there."
2020-02-24,Bahrain,"Six countries have since banned travellers from South Korea from entering their countries. They include Israel, Bahrain, Jordan, Kiribati, Samoa and American Samoa. Nine others have since placed restrictions."
2020-02-24,Korea,Mongolia will ban flights to South Korea starting from 25 February to 2 March.
2020-02-24,Taiwan,"Taiwan revises rules to require approval for healthcare professionals in hospital to travel to Level 1 and 2 countries, with a ban on travel to Level 3 countries."
